benchmark,implementation,environment,mean,std,min,max,repetitions
backprop,matlab,matlab-vm-2013a-jit,6.7565,1.14%,6.6353,6.8152,5
backprop,matlab,matlab-vm-2013a-no-jit,155.2196,2.42%,152.0523,159.7833,5
backprop,matlab,matlab-vm-2015b-jit,2.1891,0.14%,2.1865,2.1935,5
backprop,matlab,octave-4.2.1,1855.94,0.08%,1854.4,1858.4,5
backprop,matlab-mixed,matlab-vm-2013a-jit,2.5529,0.52%,2.5344,2.5647,5
backprop,matlab-mixed,matlab-vm-2013a-no-jit,2.4706,0.03%,2.4695,2.4713,5
backprop,matlab-mixed,matlab-vm-2015b-jit,2.6968,8.92%,2.5837,3.1272,5
backprop,matlab-mixed,octave-4.2.1,0.6359,0.24%,0.6343,0.6383,5
blackscholes,matlab,matlab-vm-2013a-jit,3.7506,2.31%,3.6742,3.8943,5
blackscholes,matlab,matlab-vm-2013a-no-jit,26.1669,2.39%,25.6046,27.0633,5
blackscholes,matlab,matlab-vm-2015b-jit,0.9574,4.79%,0.9219,1.037,5
blackscholes,matlab,octave-4.2.1,92.3366,0.85%,91.544,93.471,5
blackscholes,matlab-mixed,matlab-vm-2013a-jit,0.1705,0.28%,0.1701,0.1713,5
blackscholes,matlab-mixed,matlab-vm-2013a-no-jit,0.1902,0.18%,0.1899,0.1907,5
blackscholes,matlab-mixed,matlab-vm-2015b-jit,0.115,3.43%,0.1128,0.122,5
blackscholes,matlab-mixed,octave-4.2.1,0.2648,0.23%,0.2641,0.2657,5
capr,matlab,matlab-vm-2013a-jit,0.4947,0.21%,0.494,0.4965,5
capr,matlab,matlab-vm-2013a-no-jit,15.3017,1.89%,15.0122,15.6926,5
capr,matlab,matlab-vm-2015b-jit,0.2349,0.18%,0.2343,0.2353,5
capr,matlab,octave-4.2.1,221.252,0.10%,220.88,221.43,5
capr,matlab-mixed,matlab-vm-2013a-jit,0.5455,0.64%,0.5411,0.5492,5
capr,matlab-mixed,matlab-vm-2013a-no-jit,14.9738,1.62%,14.7062,15.2839,5
capr,matlab-mixed,matlab-vm-2015b-jit,0.2764,0.43%,0.2753,0.2783,5
capr,matlab-mixed,octave-4.2.1,217.198,0.19%,216.45,217.43,5
crni,matlab,matlab-vm-2013a-jit,8.1787,0.78%,8.1116,8.2503,5
crni,matlab,matlab-vm-2013a-no-jit,245.3244,1.62%,239.6078,248.6071,5
crni,matlab,matlab-vm-2015b-jit,2.9946,0.67%,2.9809,3.0294,5
