### Invariants (configuration parameters that are the same for all runs) ###

| category   | short-name  |
| ---------- | ----------- |
| compiler   | none-matlab |
| platform   | cri         |
| input-size | medium      |

### Results ###

| benchmark    | implementation | environment            | mean       | std      | min        | max        | repetitions |
| ------------ | -------------- | ---------------------- | ---------- | -------- | ---------- | ---------- | ----------- |
| backprop     | matlab         | octave-4.2.1           | 1855.9400s | +-0.08%  | 1854.4000s | 1858.4000s | 5           |
| backprop     | matlab         | matlab-vm-2013a-no-jit | 155.2196s  | +-2.42%  | 152.0523s  | 159.7833s  | 5           |
| backprop     | matlab         | matlab-vm-2013a-jit    | 6.7565s    | +-1.14%  | 6.6353s    | 6.8152s    | 5           |
| backprop     | matlab         | matlab-vm-2015b-jit    | 2.1891s    | +-0.14%  | 2.1865s    | 2.1935s    | 5           |
| backprop     | matlab-mixed   | octave-4.2.1           | 0.6359s    | +-0.24%  | 0.6343s    | 0.6383s    | 5           |
| backprop     | matlab-mixed   | matlab-vm-2013a-jit    | 2.5529s    | +-0.52%  | 2.5344s    | 2.5647s    | 5           |
| backprop     | matlab-mixed   | matlab-vm-2015b-jit    | 2.6968s    | +-8.92%  | 2.5837s    | 3.1272s    | 5           |
| capr         | matlab         | octave-4.2.1           | 221.2520s  | +-0.10%  | 220.8800s  | 221.4300s  | 5           |
| capr         | matlab         | matlab-vm-2013a-no-jit | 15.3017s   | +-1.89%  | 15.0122s   | 15.6926s   | 5           |
| capr         | matlab         | matlab-vm-2013a-jit    | 0.4947s    | +-0.21%  | 0.4940s    | 0.4965s    | 5           |
| capr         | matlab         | matlab-vm-2015b-jit    | 0.2349s    | +-0.18%  | 0.2343s    | 0.2353s    | 5           |
| capr         | matlab-mixed   | octave-4.2.1           | 217.1980s  | +-0.19%  | 216.4500s  | 217.4300s  | 5           |
| capr         | matlab-mixed   | matlab-vm-2013a-no-jit | 14.9738s   | +-1.62%  | 14.7062s   | 15.2839s   | 5           |
| capr         | matlab-mixed   | matlab-vm-2013a-jit    | 0.5455s    | +-0.64%  | 0.5411s    | 0.5492s    | 5           |
| capr         | matlab-mixed   | matlab-vm-2015b-jit    | 0.2764s    | +-0.43%  | 0.2753s    | 0.2783s    | 5           |
| crni         | matlab         | octave-4.2.1           | 2561.3200s | +-0.24%  | 2552.5000s | 2569.3000s | 5           |
| crni         | matlab         | matlab-vm-2013a-no-jit | 245.3244s  | +-1.62%  | 239.6078s  | 248.6071s  | 5           |
| crni         | matlab         | matlab-vm-2013a-jit    | 8.1787s    | +-0.78%  | 8.1116s    | 8.2503s    | 5           |
| crni         | matlab         | matlab-vm-2015b-jit    | 2.9946s    | +-0.67%  | 2.9809s    | 3.0294s    | 5           |
| crni         | matlab-mixed   | octave-4.2.1           | 1121.0800s | +-0.15%  | 1118.4000s | 1122.7000s | 5           |
| backprop     | matlab-mixed   | matlab-vm-2013a-no-jit | 2.4706s    | +-0.03%  | 2.4695s    | 2.4713s    | 5           |
| crni         | matlab-mixed   | matlab-vm-2013a-jit    | 42.4460s   | +-2.04%  | 41.8175s   | 43.9707s   | 5           |
| crni         | matlab-mixed   | matlab-vm-2013a-no-jit | 115.0552s  | +-3.30%  | 110.5481s  | 118.4410s  | 5           |
| crni         | matlab-mixed   | matlab-vm-2015b-jit    | 3.6786s    | +-0.56%  | 3.6631s    | 3.7144s    | 5           |
| mc           | matlab         | octave-4.2.1           | 465.9009s  | +-0.41%  | 463.5234s  | 468.2232s  | 5           |
| mc           | matlab         | matlab-vm-2013a-jit    | 4.3508s    | +-0.83%  | 4.3116s    | 4.3898s    | 5           |
| mc           | matlab         | matlab-vm-2013a-no-jit | 98.2949s   | +-1.82%  | 96.4137s   | 101.1585s  | 5           |
| mc           | matlab         | matlab-vm-2015b-jit    | 1.0926s    | +-0.20%  | 1.0913s    | 1.0965s    | 5           |
| mc           | matlab-mixed   | octave-4.2.1           | 0.4364s    | +-0.12%  | 0.4359s    | 0.4373s    | 5           |
| mc           | matlab-mixed   | matlab-vm-2013a-no-jit | 0.7710s    | +-0.31%  | 0.7684s    | 0.7740s    | 5           |
| mc           | matlab-mixed   | matlab-vm-2013a-jit    | 0.5578s    | +-0.43%  | 0.5557s    | 0.5616s    | 5           |
| mc           | matlab-mixed   | matlab-vm-2015b-jit    | 0.4924s    | +-0.09%  | 0.4918s    | 0.4931s    | 5           |
| nw           | matlab         | octave-4.2.1           | 982.8462s  | +-0.15%  | 981.4290s  | 985.4088s  | 5           |
| nw           | matlab         | matlab-vm-2013a-no-jit | 59.2261s   | +-2.36%  | 57.8483s   | 61.0466s   | 5           |
| nw           | matlab         | matlab-vm-2015b-jit    | 1.3092s    | +-0.11%  | 1.3081s    | 1.3116s    | 5           |
| nw           | matlab-mixed   | octave-4.2.1           | 717.7190s  | +-0.28%  | 716.1357s  | 721.1196s  | 5           |
| nw           | matlab         | matlab-vm-2013a-jit    | 2.7407s    | +-1.19%  | 2.7082s    | 2.7918s    | 5           |
| nw           | matlab-mixed   | matlab-vm-2013a-no-jit | 40.5507s   | +-1.54%  | 40.0794s   | 41.4827s   | 5           |
| nw           | matlab-mixed   | matlab-vm-2013a-jit    | 2.1863s    | +-1.23%  | 2.1643s    | 2.2290s    | 5           |
