backprop_matlab,backprop_mc2mc,backprop_mc2mc_selective,crni_matlab,crni_mc2mc,crni_mc2mc_selective,fft_matlab,fft_mc2mc,fft_mc2mc_selective,nw_matlab,nw_mc2mc,nw_mc2mc_selective,pagerank_matlab,pagerank_mc2mc,pagerank_mc2mc_selective
2.5032,3.0949,1.3565,3.0764,3.7537,2.29,0.919776,1.427882,0.910102,1.571442,1.716558,1.560453,1.40427,1.496244,0.839073
2.4996,3.1007,1.3583,3.0687,3.7897,2.2759,0.923319,1.44315,0.927167,1.588269,1.711098,1.560125,1.238137,1.461808,0.853032
2.5018,3.0953,1.3582,3.0688,3.7621,2.2717,0.900266,1.46275,0.918981,1.59046,1.744976,1.562927,1.257138,1.470651,0.833521
2.5032,3.1043,1.3551,3.0695,3.7691,2.2765,0.926951,1.483014,0.924551,1.58465,1.717129,1.561269,1.275788,1.470584,0.846445
2.5017,3.1,1.3626,3.0756,3.7399,2.2903,0.910467,1.450788,0.960545,1.592349,1.713406,1.564068,1.245174,1.476155,0.847228
2.5,3.0993,1.3611,3.0831,3.7828,2.306,0.906913,1.45989,0.912955,1.588878,1.714176,1.564371,1.242756,1.483675,0.852057
2.4996,3.1001,1.3573,3.0706,3.7614,2.2792,0.909763,1.463491,0.930447,1.589329,1.713718,1.563787,1.248744,1.481247,0.855041
2.5032,3.101,1.3567,3.0629,3.7714,2.2628,0.901527,1.427548,0.964781,1.58915,1.712306,1.56559,1.232138,1.477054,0.825676
2.5124,3.0847,1.3555,3.0694,3.7559,2.2734,0.904605,1.456733,0.966271,1.589322,1.713119,1.563762,1.251406,1.499181,0.857312
2.5036,3.1011,1.3572,3.0768,4.2366,2.2729,0.915535,1.503307,0.935331,1.592826,1.713697,1.56267,1.255138,1.475708,0.834796
2.5004,3.1002,1.3592,3.0719,3.7839,2.2727,1.013517,1.467576,0.946339,1.585631,1.712804,1.563961,1.252524,1.459479,0.831759
2.5043,3.0985,1.3547,3.0641,3.7527,2.263,0.947787,1.46485,1.013477,1.589955,1.712177,1.564109,1.239302,1.496105,0.85027
2.502,3.1037,1.3587,3.0781,3.7617,2.2889,0.920539,1.428981,0.939626,1.591595,1.714704,1.562372,1.240981,1.475667,0.854861
2.5015,3.0864,1.3556,3.068,3.7545,2.2727,0.907653,1.459335,0.993524,1.598032,1.713862,1.564933,1.260201,1.472074,0.830733
2.5014,3.1022,1.357,3.0645,3.7722,2.2816,0.981882,1.469751,0.925084,1.596783,1.71412,1.567183,1.254276,1.474412,0.843738
2.5008,3.1007,1.359,3.0783,3.7818,2.2854,0.919318,1.455843,0.910104,1.586587,1.713825,1.565121,1.250025,1.474023,0.836872
2.5007,3.7112,1.3554,3.0728,3.7753,2.2652,0.936478,1.467896,0.918618,1.5915,1.713351,1.562622,1.265554,1.493683,0.851643
2.5014,3.0922,1.3599,3.0578,3.7543,2.2674,0.971076,1.460131,0.963626,1.586062,1.714571,1.562194,1.246501,1.490353,0.84399
2.5014,3.1065,1.3555,3.0667,3.7605,2.2807,0.927838,1.483265,0.903173,1.586743,1.713439,1.561366,1.261083,1.489556,0.855682
2.501,3.0922,1.3537,3.074,3.7469,2.2641,0.931015,1.545506,0.917319,1.586974,1.713669,1.562781,1.247747,1.468187,0.83517
2.5008,3.1043,1.3581,3.0639,3.7677,2.2848,0.909051,1.526675,0.940347,1.585857,1.714991,1.566403,1.242179,1.492648,0.841373
2.5005,3.0924,1.36,3.07,3.7868,2.2993,0.905049,1.436774,0.936548,1.585248,1.71282,1.564821,1.238564,1.493053,0.841456
2.5015,3.1048,1.3602,3.0626,3.7549,2.2935,0.961693,1.451764,0.906325,1.593403,1.713298,1.56449,1.251332,1.478877,0.839936
2.5012,3.0988,1.3563,3.0685,3.7532,2.281,0.951588,1.448909,0.910868,1.586737,1.712863,1.56325,1.250632,1.477295,0.835522
2.501,3.103,1.3607,3.1297,3.7667,2.2951,0.920993,1.450631,0.912623,1.591275,1.713104,1.561087,1.256552,1.499521,0.849238
2.5023,3.1012,1.3567,3.0643,3.7646,2.2737,0.938827,1.457898,0.936595,1.589691,1.713737,1.561467,1.253712,1.461577,0.826756
2.5037,3.099,1.357,3.059,3.773,2.2674,0.904072,1.465856,0.933593,1.592673,1.711587,1.561161,1.244407,1.464618,0.849965
2.4993,3.1005,1.3561,3.067,3.743,2.2747,1.001513,1.44104,0.916014,1.591114,1.716783,1.562099,1.246,1.504915,0.849954
2.4996,3.0989,1.3568,3.0677,3.7579,2.2702,0.925767,1.445204,0.968113,1.591361,1.716704,1.56364,1.238479,1.4555,0.842204
2.5013,3.0964,1.3568,3.0614,3.7735,2.272,0.924855,1.431654,0.926776,1.590673,1.711943,1.565992,1.239627,1.4711,0.867006
2.5565,3.0909,1.3553,3.0603,3.7569,2.2775,0.932661,1.453762,0.920119,1.591282,1.715416,1.564698,1.282284,1.481947,0.842594
2.6451,3.0966,1.3567,3.0589,3.7498,2.2938,0.916466,1.458322,0.91053,1.586292,1.71339,1.560523,1.265045,1.489456,0.842246
2.5022,3.0914,1.3562,3.07,3.749,2.2753,0.927306,1.469058,0.941791,1.591793,1.71796,1.565088,1.27332,1.458221,0.836595
2.5011,3.1001,1.352,3.0629,3.77,2.2702,1.017468,1.443684,0.904895,1.591082,1.717173,1.560828,1.273313,1.47457,0.858303
2.5035,3.1013,1.3571,3.0635,3.7673,2.3038,0.948425,1.446555,0.917194,1.589477,1.716284,1.563849,1.279514,1.476166,0.861431
2.5034,3.0921,1.3559,3.0667,3.7843,2.2884,0.902944,1.582679,0.910248,1.590177,1.712835,1.563699,1.28227,1.470582,0.84634
2.503,3.0998,1.3611,3.0625,3.7607,2.2759,0.927796,1.457901,0.920819,1.585841,1.710252,1.563996,1.274462,1.475865,0.846784
2.5037,3.0951,1.3591,3.0653,3.767,2.2671,0.933497,1.471708,0.920676,1.591212,1.713539,1.559061,1.270082,1.490569,0.833769
2.4993,3.095,1.3555,3.0739,3.7804,2.266,0.903967,1.443934,0.897401,1.584837,1.717039,1.564443,1.263759,1.489306,0.837553
2.5004,3.0928,1.3606,3.0659,3.7583,2.2764,0.932648,1.436937,0.963466,1.588332,1.717724,1.572065,1.273814,1.475995,0.825872
2.5046,3.0941,1.3592,3.0613,3.7578,2.2809,0.922577,1.443142,0.930458,1.590294,1.714869,1.576068,1.279097,1.484535,0.868457
2.5025,3.1019,1.3552,3.0679,3.7491,2.2818,0.902291,1.426467,0.930423,1.588886,1.713164,1.563208,1.278508,1.486944,0.843486
2.501,3.0941,1.3622,3.0643,3.7488,2.2739,1.008343,1.438385,0.906837,1.590749,1.717382,1.56366,1.273351,1.482283,0.841278
2.5037,3.103,1.3561,3.0604,3.7573,2.277,0.935861,1.448858,0.941134,1.588423,1.711331,1.563297,1.268839,1.470444,0.844445
2.5028,3.1025,1.3561,3.0618,3.7734,2.2733,0.912949,1.4235,0.915237,1.587506,1.71079,1.562566,1.274949,1.46115,0.847392
2.5009,3.1065,1.3614,3.0654,3.7496,2.2669,0.915394,1.44456,0.912256,1.584311,1.717019,1.561787,1.288613,1.485336,0.839847
2.5023,3.1041,1.3576,3.0648,3.7609,2.2673,0.977393,1.429837,0.929434,1.588986,1.713735,1.561269,1.276375,1.4786,0.856174
2.5045,3.0987,1.3587,3.069,3.7628,2.2894,0.901325,1.484757,0.932514,1.590226,1.715902,1.562981,1.269276,1.48524,0.859707
2.5,3.1081,1.3532,3.0705,3.7679,2.2833,0.93616,1.445007,0.924032,1.585364,1.716792,1.56351,1.275785,1.479304,0.861796
2.5018,3.0991,1.3572,3.0653,3.7631,2.3061,0.904856,1.4729,0.94613,1.591139,1.713887,1.563738,1.275847,1.490892,0.841165
2.5029,3.106,1.364,3.0684,3.7694,2.2679,0.902763,1.456119,0.931511,1.593027,1.713372,1.56322,1.272823,1.49713,0.854986
2.5023,3.0993,1.3572,3.0699,3.7556,2.2987,0.912167,1.466065,0.905686,1.584887,1.712483,1.565632,1.283787,1.461223,0.832185
2.5003,3.0959,1.3589,3.0753,3.7472,2.264,0.934751,1.437592,0.924761,1.599501,1.709828,1.564081,1.278589,1.474472,0.856938
2.5025,3.0965,1.3545,3.0592,3.7643,2.2726,0.907391,1.443429,0.920056,1.588572,1.715085,1.564847,1.27438,1.479736,0.843246
2.5025,3.1006,1.3561,3.0971,3.7657,2.2863,0.912424,1.450723,0.92114,1.589318,1.725792,1.563525,1.26384,1.486731,0.866456
2.5012,3.0952,1.3556,3.0719,3.755,2.2673,0.909684,1.43337,0.91088,1.590113,1.71468,1.562514,1.277097,1.460979,0.841579
2.5042,3.0958,1.3565,3.0656,3.7736,2.2775,0.920064,1.468894,0.908407,1.586106,1.712603,1.56374,1.282547,1.488462,0.864693
2.5025,3.0981,1.3571,3.0706,3.7485,2.3018,0.949381,1.444678,0.904168,1.588764,1.713535,1.562543,1.271109,1.490067,0.831282
2.5036,3.098,1.3549,3.1024,3.7629,2.2727,0.921205,1.485372,0.91338,1.588412,1.718654,1.563088,1.268708,1.486771,0.841009
2.5028,3.0984,1.3519,3.0654,3.7465,2.2847,0.930333,1.442392,0.915936,1.593045,1.712386,1.564322,1.268367,1.489942,0.859923
2.5015,3.0983,1.3601,3.0613,3.778,2.2869,0.918569,1.437296,0.922409,1.588566,1.711711,1.566628,1.276556,1.470008,0.828724
2.5015,3.0938,1.3597,3.0659,3.7532,2.2705,0.91959,1.446086,0.93287,1.585293,1.710806,1.562863,1.273591,1.461964,0.840089
2.5005,3.0964,1.3576,3.0729,3.7509,2.2761,0.955338,1.472749,0.916541,1.590131,1.715529,1.568092,1.280256,1.476291,0.845506
2.5013,3.1048,1.3574,3.072,3.7492,2.2788,0.934457,1.447107,0.924564,1.591789,1.711118,1.562971,1.266021,1.489672,0.841157
2.5015,3.1029,1.358,3.0596,3.7568,2.2655,0.969687,1.453515,0.968097,1.595462,1.713404,1.56187,1.273852,1.480386,0.82581
