crni_matlab,crni_mc2mc,crni_mc2mc_selective,nw_matlab,nw_mc2mc,nw_mc2mc_selective
3.0797,3.7595,3.0908,1.595415,1.712323,1.569028
3.0642,3.7462,3.0806,1.592491,1.71386,1.589065
3.0732,3.7757,3.0984,1.585247,1.712099,1.585357
3.0586,3.77,3.1186,1.592252,1.710531,1.589418
3.0645,3.7549,3.0926,1.589995,1.712056,1.584567
3.0706,3.7551,3.0908,1.591809,1.716176,1.583253
3.0743,3.7585,3.0927,1.584458,1.710536,1.585938
3.0665,3.751,3.0985,1.598881,1.711912,1.584081
3.0638,3.7915,3.0746,1.589657,1.713726,1.58573
3.0618,3.7412,3.09,1.588301,1.708476,1.590095
3.0724,3.7457,3.09,1.590102,1.710159,1.582902
3.067,3.7574,3.0984,1.588256,1.715129,1.588537
3.0647,3.7622,3.0787,1.586339,1.714594,1.58392
3.0628,3.7637,3.0853,1.585507,1.713082,1.583364
3.0685,3.7564,3.1022,1.589794,1.716014,1.583563
3.0635,3.7659,3.094,1.588629,1.712722,1.584806
3.0673,3.7691,3.0966,1.590388,1.71164,1.586984
3.0995,3.752,3.0861,1.58868,1.710086,1.589447
3.0787,3.7719,3.097,1.587055,1.711792,1.590116
3.0661,3.7671,3.0837,1.588201,1.709607,1.589065
3.0611,3.7692,3.0959,1.587875,1.709116,1.58829
3.0793,3.7515,3.1003,1.590443,1.716668,1.590159
3.0745,3.7643,3.0888,1.589785,1.711869,1.58506
3.0664,3.7532,3.1032,1.591949,1.711623,1.602461
3.0653,3.7523,3.0999,1.584438,1.716947,1.585809
3.0639,3.7599,3.1003,1.585245,1.713869,1.586587
3.0594,3.7544,3.0965,1.591128,1.715255,1.591445
3.0592,3.7575,3.0915,1.585177,1.711138,1.587843
3.0653,3.7654,3.1031,1.591917,1.713144,1.590292
3.069,3.754,3.0933,1.586193,1.710992,1.582096
3.064,3.7534,3.096,1.586317,1.711471,1.590237
3.0566,3.7525,3.0935,1.588042,1.708631,1.583789
3.0762,3.7504,3.111,1.588912,1.70902,1.589879
3.0728,3.7572,3.0903,1.585413,1.713255,1.589839
3.065,3.7668,3.0978,1.587135,1.713663,1.589379
3.064,3.752,3.0978,1.582877,1.710318,1.587252
3.061,3.7843,3.1077,1.588697,1.709489,1.587216
3.0722,3.7598,3.0848,1.588394,1.727721,1.591228
3.0654,3.7575,3.0883,1.58872,1.712468,1.582934
3.064,3.7683,3.0983,1.58599,1.714516,1.588656
3.071,3.7534,3.0929,1.586463,1.71022,1.584778
3.0746,3.7686,3.0766,1.587587,1.71473,1.585301
3.0695,3.7604,3.0816,1.584304,1.710192,1.587499
3.0772,3.7537,3.0923,1.584744,1.714559,1.58746
3.0671,3.7593,3.1026,1.585598,1.711886,1.584837
3.0754,3.753,3.0892,1.587367,1.713672,1.586192
3.0646,3.7446,3.107,1.588259,1.714985,1.584145
3.0631,3.7455,3.1169,1.5897,1.715537,1.58767
3.0671,3.7848,3.1149,1.586385,1.71329,1.584804
3.0731,3.7568,3.1063,1.590823,1.710901,1.588561
3.0572,3.7533,3.0858,1.593038,1.709809,1.581847
3.0728,3.7734,3.0944,1.586057,1.710667,1.589099
3.074,3.773,3.0741,1.587116,1.718893,1.582895
3.0736,3.7554,3.0818,1.587244,1.711477,1.588015
3.0647,3.7606,3.0939,1.583705,1.71593,1.590802
3.0707,3.7518,3.1036,1.587138,1.713899,1.587955
3.0743,3.7488,3.2983,1.591205,1.712096,1.587135
3.0532,3.7624,3.0994,1.584818,1.713481,1.588693
3.0697,3.7559,3.099,1.587999,1.713207,1.585919
3.0753,3.7419,3.087,1.58913,1.713712,1.586071
3.0678,3.7557,3.0902,1.590096,1.709726,1.584095
3.0677,3.7539,3.089,1.589784,1.711711,1.590758
3.074,3.7667,3.0892,1.589434,1.712037,1.586544
3.0652,3.7806,3.0852,1.589075,1.720527,1.589175
3.0681,3.7443,3.0921,1.585571,1.710576,1.583338
3.0643,3.7429,3.0959,1.588525,1.713402,1.584156
3.0679,3.7464,3.0868,1.589843,1.713179,1.587534
3.062,3.7724,3.1037,1.619351,1.713458,1.582937
3.0711,3.7523,3.0927,1.589323,1.719441,1.588501
3.0667,3.7602,3.085,1.589939,1.711563,1.58242
3.0701,3.7562,3.0933,1.589047,1.710019,1.588014
3.0642,3.7512,3.0892,1.583912,1.711851,1.588165
3.0649,3.7557,3.0963,1.590992,1.713885,1.584719
3.0622,3.7555,3.0878,1.591062,1.712985,1.583806
3.0708,3.7639,3.0994,1.588078,1.714567,1.588277
3.0894,3.748,3.1142,1.591907,1.709827,1.582604
3.0726,3.7626,3.105,1.589694,1.715718,1.588832
3.0756,3.7996,3.0974,1.585984,1.712414,1.587632
3.0688,3.7492,3.0949,1.585524,1.714092,1.586386
3.0739,3.7668,3.0775,1.589335,1.7117,1.589688
3.0735,3.7744,3.1035,1.588316,1.713086,1.584103
3.3123,3.7766,3.0883,1.589442,1.715881,1.588833
3.0656,3.7659,3.1506,1.586311,1.714078,1.584925
3.0645,3.7687,3.1005,1.589802,1.714936,1.59054
3.0621,3.7718,3.0961,1.59056,1.714557,1.589302
3.0633,3.7539,3.078,1.589775,1.716228,1.58992
3.0687,3.7541,3.1167,1.590835,1.714099,1.584422
3.0658,3.7538,3.0875,1.585206,1.710061,1.584841
3.0653,3.7698,3.0876,1.586402,1.715445,1.58514
3.0655,3.7555,3.0901,1.585363,1.712065,1.587939
3.0622,3.7648,3.152,1.58411,1.711428,1.587547
3.065,3.7624,3.0682,1.587561,1.711248,1.588987
3.0626,3.7503,3.091,1.587655,1.711152,1.591333
3.0623,3.76,3.0918,1.592532,1.717079,1.588315
3.072,3.7522,3.0875,1.58988,1.724672,1.589713
3.0639,3.7615,3.0753,1.590206,1.713405,1.590326
3.0616,3.7563,3.0755,1.591352,1.712443,1.590736
3.0757,3.7702,3.0915,1.585901,1.715573,1.584785
3.0681,3.7646,3.1084,1.589744,1.718483,1.585902
3.1207,3.7623,3.098,1.586196,1.7120286,1.582014
